rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B6,3,10000,lam=10000,False,C_context,20,0.0097758681874629272,0.0021859505806244763
B6,3,10000,lam=10000,False,X_prior_composite,24,0.020303899679453091,0.0041445161669432509
B6,4,100,lam=100,False,phase1_backbone,88,0.42554522695156533,0.045363273613892273
B6,4,100,lam=100,False,C_context,20,0.20767540656442196,0.046437632633295353
B6,4,100,lam=100,False,X_prior_composite,24,0.24402238036201057,0.049810859808856682
B6,4,300,lam=300,False,phase1_backbone,88,0.28704376839220352,0.03059896852331586
B6,4,300,lam=300,False,C_context,20,0.14015066810975771,0.031338642098543021
B6,4,300,lam=300,False,X_prior_composite,24,0.14643242776624979,0.029890394152022295
B6,4,1000,lam=1000,True,phase1_backbone,88,0.19061104366053738,0.020319205526858553
B6,4,1000,lam=1000,True,C_context,20,0.071586636316473981,0.016007258508419095
B6,4,1000,lam=1000,True,X_prior_composite,24,0.074247927379990225,0.01515579471168303
B6,4,3000,lam=3000,False,phase1_backbone,88,0.131018481054822,0.013966617008356011
B6,4,3000,lam=3000,False,C_context,20,0.031759136335697366,0.0071015587753302887
B6,4,3000,lam=3000,False,X_prior_composite,24,0.03923228623282303,0.0080082568927694765
B6,4,10000,lam=10000,False,phase1_backbone,88,0.077192712228531343,0.0082287707722776861
B6,4,10000,lam=10000,False,C_context,20,0.01114277136779456,0.0024915994236126946
B6,4,10000,lam=10000,False,X_prior_composite,24,0.022122596134479484,0.0045157560262618574
